,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,14.847724914550781,-2.5692125404930266e-07,-2.5692125404930266e-07,2.497016429901123,0.036385536193847656,0.11304999887943268,0.015450000762939453,1.9276766777038574,0.2981666624546051,2.5020644664764404,0.036407470703125,0.11349999904632568,0.025100000202655792,1.9201128482818604,0.29809999465942383,0,0
1,100,14.883561134338379,0.002413325710222125,0.0024078621063381433,1.6022555828094482,0.0682532787322998,0.6264833211898804,-0.019950032234191895,1.600124478340149,0.6274499893188477,1.589450716972351,0.06943094730377197,0.6370000243186951,-0.01759999990463257,1.5910723209381104,0.6313999891281128,0,100
2,200,14.971406936645508,0.008329772390425205,0.008264720439910889,1.1206120252609253,0.048569679260253906,0.7640166878700256,-0.01076662540435791,1.070669174194336,0.7985833287239075,1.0990082025527954,0.048882365226745605,0.7778000235557556,-0.0051999688148498535,1.0521907806396484,0.8075000047683716,0,200
3,300,15.059045791625977,0.014232281595468521,0.014043044298887253,0.866892397403717,0.026729285717010498,0.8116666674613953,-0.006999969482421875,0.7875084280967712,0.86285001039505,0.8425869941711426,0.025394737720489502,0.8217999935150146,-0.001699984073638916,0.7700979709625244,0.8680999875068665,0,300
4,400,15.133879661560059,0.019272370263934135,0.01892613247036934,0.7284324169158936,0.014233171939849854,0.8348000049591064,-0.004366636276245117,0.6339365839958191,0.8930833339691162,0.7026421427726746,0.01162654161453247,0.8446000218391418,0.0006999969482421875,0.6169739961624146,0.8974000215530396,0,400
5,500,15.201680183410645,0.02383876033127308,0.023311741650104523,0.6416726112365723,0.008376121520996094,0.8459500074386597,-0.0029166340827941895,0.5322439074516296,0.9112833142280579,0.6165249347686768,0.005800724029541016,0.8568000197410583,0.000800013542175293,0.5166794061660767,0.916700005531311,0,500
6,600,15.260583877563477,0.02780594676733017,0.027092481032013893,0.5836902856826782,0.004401564598083496,0.856166660785675,-0.0015666484832763672,0.46874329447746277,0.9222833514213562,0.5593562722206116,0.001952052116394043,0.8648999929428101,0.0015000104904174805,0.4547252058982849,0.9272000193595886,0,600
7,700,15.313115119934082,0.03134394437074661,0.030440330505371094,0.5418421626091003,0.0024673938751220703,0.8640666604042053,-0.0006999969482421875,0.4201841652393341,0.9313499927520752,0.5177740454673767,-9.489059448242188e-05,0.8702999949455261,-0.00270003080368042,0.40419286489486694,0.9388999938964844,0,700
8,800,15.361672401428223,0.03461429476737976,0.033516425639390945,0.508926272392273,0.0010669231414794922,0.8706833124160767,5.0008296966552734e-05,0.3852495551109314,0.9376333355903625,0.48635274171829224,-0.001157134771347046,0.8770999908447266,-0.001300036907196045,0.3721974492073059,0.9402999877929688,0,800
9,900,15.404091835021973,0.037471260875463486,0.03618656471371651,0.48360925912857056,0.0004297792911529541,0.874750018119812,0.00021666288375854492,0.35619592666625977,0.9428666830062866,0.4611946642398834,-0.0015863776206970215,0.8806999921798706,-0.001600027084350586,0.34342455863952637,0.9435999989509583,0,900
10,1000,15.443065643310547,0.040096160024404526,0.03862921893596649,0.46455106139183044,-0.00040727853775024414,0.878000020980835,0.0005167126655578613,0.3351927697658539,0.9460833072662354,0.4423139691352844,-0.0023423731327056885,0.8848999738693237,-0.0006999969482421875,0.3235255181789398,0.9490000009536743,1,62
11,1100,15.479978561401367,0.04258225858211517,0.04093160480260849,0.44801652431488037,-0.0012393295764923096,0.8805666565895081,-0.0003833174705505371,0.31470075249671936,0.9500333070755005,0.42541611194610596,-0.0031845271587371826,0.8862000107765198,-0.0023999810218811035,0.30194032192230225,0.9527999758720398,1,162
12,1200,15.515335083007812,0.0449635349214077,0.04312876611948013,0.4337922930717468,-0.0012848973274230957,0.8832666873931885,-0.0007333159446716309,0.29925021529197693,0.9527666568756104,0.41196733713150024,-0.00332796573638916,0.8912000060081482,-0.0004000067710876465,0.2886280119419098,0.954200029373169,1,262
13,1300,15.545828819274902,0.04701729863882065,0.04501175507903099,0.4213242828845978,-0.0012940466403961182,0.8861833214759827,-0.0005666613578796387,0.28636008501052856,0.9549166560173035,0.40036439895629883,-0.0028967559337615967,0.892300009727478,-0.001900017261505127,0.27473360300064087,0.9577999711036682,1,362
14,1400,15.574992179870605,0.04898146167397499,0.046810850501060486,0.4119604527950287,-0.0011190474033355713,0.8879500031471252,-0.0006666779518127441,0.2763875722885132,0.9560999870300293,0.39105576276779175,-0.003207385540008545,0.895799994468689,-0.0012999773025512695,0.2653748095035553,0.9585999846458435,1,462
15,1500,15.603485107421875,0.05090047046542168,0.04855808615684509,0.4020117223262787,-0.001730501651763916,0.8901333212852478,0.0002499818801879883,0.26534339785575867,0.9583333134651184,0.38221827149391174,-0.0035049617290496826,0.8977000117301941,0.0,0.25617316365242004,0.9585999846458435,1,562
16,1600,15.631514549255371,0.05278826504945755,0.050276994705200195,0.39208436012268066,-0.0017784535884857178,0.8923166394233704,4.9948692321777344e-05,0.25513261556625366,0.9606333374977112,0.3717416226863861,-0.0035637617111206055,0.8989999890327454,-0.0009000301361083984,0.24559935927391052,0.9593999981880188,1,662
17,1700,15.657783508300781,0.05455748736858368,0.05187991261482239,0.38589781522750854,-0.0021976828575134277,0.8937166929244995,1.6689300537109375e-05,0.248787060379982,0.9609333276748657,0.3671479821205139,-0.0038117170333862305,0.8996999859809875,-0.0017000436782836914,0.2393190711736679,0.9624999761581421,1,762
