epoch,batch,step,L_train,del_L_train,L_test,del_L_test,acc_test,del_acc_test,L_compare,acc_compare,d_w,rel_d_w,lr,momentum,dampening,weight_decay,nesterov,n_hidden,weight_initialization,epsilon,model_idx,loss_fn
0,0,0,2.3072545528411865,0.0,2.300268668162823,0.0,0.0899,0.0,2.0032607340335846,1.0,0.0,0.0,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,0,nll_loss
0,0,0,2.321324348449707,0.014069795608520508,2.260607439148426,-0.03966122901439695,0.1708,0.08090000000000001,2.363079029262066,0.0618,8.592703,1.4200597,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,1,nll_loss
0,0,0,2.284703254699707,-0.022551298141479492,2.249924635362625,-0.05034403280019761,0.1998,0.10990000000000001,2.2727103602528573,0.1775,8.570111,1.4163262,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,2,nll_loss
0,0,0,2.3212039470672607,0.013949394226074219,2.3312677241563797,0.0309990559935569,0.1135,0.02360000000000001,2.373681208729744,0.0593,8.557385,1.4142231,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,3,nll_loss
0,0,0,2.295501947402954,-0.011752605438232422,2.2725768712878227,-0.02769179687500012,0.1327,0.04280000000000002,2.317318276512623,0.1036,8.577049,1.4174727,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,4,nll_loss
0,0,0,2.3123703002929688,0.0051157474517822266,2.3044231087565423,0.0041544405937194995,0.1156,0.0257,2.279053260052204,0.1444,8.5549555,1.4138215,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,5,nll_loss
0,0,0,2.3012452125549316,-0.006009340286254883,2.2965277719140054,-0.00374089624881746,0.14,0.05010000000000002,2.2452270317435263,0.2066,8.587014,1.4191196,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,6,nll_loss
0,0,0,2.322866916656494,0.015612363815307617,2.3206801044344902,0.020411436271667416,0.107,0.017100000000000004,2.3082132286429404,0.0881,8.563801,1.4152832,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,7,nll_loss
0,0,0,2.351618766784668,0.044364213943481445,2.3460651248335838,0.04579645667076093,0.1007,0.010800000000000004,2.2590020119547845,0.0947,8.566988,1.41581,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,8,nll_loss
0,0,0,2.3542275428771973,0.04697299003601074,2.316888642501831,0.01661997433900808,0.1167,0.026800000000000004,2.3424595515012743,0.047,8.548153,1.4126972,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,9,nll_loss
