epoch,batch,step,L_train,del_L_train,L_test,del_L_test,acc_test,del_acc_test,L_compare,acc_compare,d_w,rel_d_w,lr,momentum,dampening,weight_decay,nesterov,n_hidden,weight_initialization,epsilon,model_idx,loss_fn
2,0,1876,2.3072545528411865,0.0,2.300268668162823,0.0,0.0899,0.0,2.0032607340335846,1.0,0.0,0.0,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,0,nll_loss
2,0,1876,2.321324348449707,0.014069795608520508,2.260607439148426,-0.03966122901439695,0.1708,0.08090000000000001,2.363079029262066,0.0618,8.592703,1.4200597,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,1,nll_loss
2,0,1876,2.284703254699707,-0.022551298141479492,2.249924635362625,-0.05034403280019761,0.1998,0.10990000000000001,2.2727103602528573,0.1775,8.570111,1.4163262,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,2,nll_loss
2,0,1876,2.3212039470672607,0.013949394226074219,2.3312677241563797,0.0309990559935569,0.1135,0.02360000000000001,2.373681208729744,0.0593,8.557385,1.4142231,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,3,nll_loss
2,0,1876,2.295501947402954,-0.011752605438232422,2.2725768712878227,-0.02769179687500012,0.1327,0.04280000000000002,2.317318276512623,0.1036,8.577049,1.4174727,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,4,nll_loss
2,0,1876,2.3123703002929688,0.0051157474517822266,2.3044231087565423,0.0041544405937194995,0.1156,0.0257,2.279053260052204,0.1444,8.5549555,1.4138215,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,5,nll_loss
2,0,1876,2.3012452125549316,-0.006009340286254883,2.2965277719140054,-0.00374089624881746,0.14,0.05010000000000002,2.2452270317435263,0.2066,8.587014,1.4191196,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,6,nll_loss
2,0,1876,2.322866916656494,0.015612363815307617,2.3206801044344902,0.020411436271667416,0.107,0.017100000000000004,2.3082132286429404,0.0881,8.563801,1.4152832,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,7,nll_loss
2,0,1876,2.351618766784668,0.044364213943481445,2.3460651248335838,0.04579645667076093,0.1007,0.010800000000000004,2.2590020119547845,0.0947,8.566988,1.41581,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,8,nll_loss
2,0,1876,2.3542275428771973,0.04697299003601074,2.316888642501831,0.01661997433900808,0.1167,0.026800000000000004,2.3424595515012743,0.047,8.548153,1.4126972,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,9,nll_loss
2,100,1976,1.0096476078033447,0.0,1.030696085248515,0.0,0.7857,0.0,0.9116410044144839,1.0,0.0,0.0,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,0,nll_loss
2,100,1976,0.9200799465179443,-0.08956766128540039,0.9558895983532071,-0.07480648689530789,0.8245,0.03880000000000006,0.902466465960443,0.8604,8.827203,1.422418,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,1,nll_loss
2,100,1976,0.918914794921875,-0.09073281288146973,0.9359907867884263,-0.09470529846008868,0.8137,0.028000000000000025,0.8736024600123986,0.8601,8.777225,1.4143645,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,2,nll_loss
2,100,1976,0.9732057452201843,-0.0364418625831604,1.0282712891718373,-0.002424796076677671,0.7978,0.0121,0.9644671868314967,0.8576,8.7519455,1.410291,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,3,nll_loss
2,100,1976,0.9682002663612366,-0.041447341442108154,0.9774400468749925,-0.05325603837352244,0.8115,0.025800000000000045,0.9047971573872492,0.8673,8.79243,1.4168147,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,4,nll_loss
2,100,1976,0.9551377296447754,-0.054509878158569336,0.9626890093352646,-0.06800707591325039,0.8054,0.01970000000000005,0.890961368527636,0.8653,8.765717,1.41251,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,5,nll_loss
2,100,1976,0.9794967174530029,-0.030150890350341797,0.9757263271752745,-0.05496975807324045,0.8048,0.019100000000000006,0.9147563843552023,0.8607,8.807314,1.419213,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,6,nll_loss
2,100,1976,0.9644680619239807,-0.045179545879364014,0.9871271038454026,-0.04356898140311238,0.8044,0.01870000000000005,0.9230064317431301,0.8513,8.767062,1.4127269,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,7,nll_loss
2,100,1976,1.0136045217514038,0.003956913948059082,1.0183370851259679,-0.012359000122547092,0.8073,0.021600000000000064,0.9481358284454793,0.8692,8.782565,1.415225,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,8,nll_loss
2,100,1976,0.995146632194519,-0.014500975608825684,0.9911615540856495,-0.03953453116286543,0.8077,0.02200000000000002,0.9166989884311333,0.8712,8.771346,1.4134172,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,9,nll_loss
2,200,2076,0.7127640843391418,0.0,0.63848467051154,0.0,0.8549,0.0,0.510530497419741,1.0,0.0,0.0,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,0,nll_loss
2,200,2076,0.6561721563339233,-0.056591928005218506,0.5888025681472151,-0.04968210236432491,0.8716,0.016700000000000048,0.49883236601713576,0.9238,9.087735,1.4225224,0.01,0.0,0,0.0,False,100,relative_perturbation,0.001,1,nll_loss
