,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,0.1484895944595337,8.28972551971674e-05,8.28972551971674e-05,2.4605484008789062,-8.249282836914062e-05,0.09741666913032532,-0.00018332898616790771,1.6402721405029297,0.9864500164985657,2.4655470848083496,-0.00010991096496582031,0.08739999681711197,-0.0010000020265579224,1.6360024213790894,0.9861000180244446,0,0
1,100,0.14955133199691772,0.007233738899230957,0.007217362057417631,1.5334396362304688,-0.0005626678466796875,0.6469333171844482,0.0004999637603759766,1.3657630681991577,0.994183361530304,1.5194472074508667,-0.0005725622177124023,0.6546000242233276,0.0,1.3517425060272217,0.9940999746322632,0,100
2,200,0.1508195400238037,0.015775166451931,0.015651967376470566,1.0722222328186035,0.0001798868179321289,0.7751500010490417,0.0003666877746582031,0.9343563914299011,0.9969000220298767,1.050240159034729,0.00011432170867919922,0.7833999991416931,0.0004000067710876465,0.9160506129264832,0.9965000152587891,0,200
3,300,0.1519775688648224,0.023574532940983772,0.02326107770204544,0.8402876257896423,0.00012451410293579102,0.8188666701316833,0.00020003318786621094,0.7017771601676941,0.9982333183288574,0.8172881007194519,9.584426879882812e-05,0.8237000107765198,0.00020003318786621094,0.6829676032066345,0.9976999759674072,0,300
4,400,0.15304216742515564,0.030744643881917,0.03019230253994465,0.7143810391426086,0.0001817941665649414,0.8392333388328552,6.669759750366211e-05,0.5741624236106873,0.9986500144004822,0.6911991834640503,0.00018358230590820312,0.8442999720573425,0.0003999471664428711,0.5569838881492615,0.998199999332428,0,400
5,500,0.15410932898521423,0.03793201595544815,0.037093427032232285,0.6334663033485413,0.0001698136329650879,0.8489166498184204,5.0008296966552734e-05,0.48678091168403625,0.9986833333969116,0.6109228730201721,0.00019866228103637695,0.8561000227928162,0.00010001659393310547,0.47073808312416077,0.9987000226974487,0,500
6,600,0.15479813516139984,0.04257115349173546,0.04147883132100105,0.5793827176094055,9.399652481079102e-05,0.857699990272522,-3.331899642944336e-05,0.43166297674179077,0.9987499713897705,0.5575037002563477,9.948015213012695e-05,0.8637999892234802,0.0004000067710876465,0.4171334505081177,0.9990000128746033,0,600
7,700,0.1555211842060089,0.04744091257452965,0.04607324302196503,0.5394386649131775,6.389617919921875e-05,0.864883303642273,0.00011664628982543945,0.39058125019073486,0.9989166855812073,0.5179111361503601,4.220008850097656e-05,0.8730000257492065,0.0,0.37608087062835693,0.9991999864578247,0,700
8,800,0.15618456900119781,0.051908835768699646,0.05026242882013321,0.5079181790351868,5.882978439331055e-05,0.8706499934196472,1.6689300537109375e-05,0.35878506302833557,0.9988999962806702,0.48755478858947754,4.4912099838256836e-05,0.8784999847412109,9.995698928833008e-05,0.3454672396183014,0.9994000196456909,0,800
9,900,0.15677441656589508,0.05588148161768913,0.05396559461951256,0.48321664333343506,3.7163496017456055e-05,0.8744500279426575,-8.33272933959961e-05,0.3322250247001648,0.9991999864578247,0.4627772867679596,-3.7550926208496094e-06,0.8824999928474426,0.00019997358322143555,0.31942853331565857,0.9993000030517578,0,900
